city,continent,year,month,tourism_index,date
Cairo,Africa,2023,12,0.24,2023-12-01
Cairo,Africa,2024,1,0.27,2024-01-01
Cairo,Africa,2024,2,0.2575,2024-02-01
Cairo,Africa,2024,3,0.23199999999999998,2024-03-01
Cairo,Africa,2024,4,0.2475,2024-04-01
Cairo,Africa,2024,5,0.22999999999999998,2024-05-01
Cairo,Africa,2024,6,0.198,2024-06-01
Cairo,Africa,2024,7,0.23249999999999998,2024-07-01
Cairo,Africa,2024,8,0.22,2024-08-01
Cairo,Africa,2024,9,0.252,2024-09-01
Cairo,Africa,2024,10,0.2575,2024-10-01
Cairo,Africa,2024,11,0.285,2024-11-01
Cairo,Africa,2024,12,0.27999999999999997,2024-12-01
Cairo,Africa,2025,1,0.305,2025-01-01
Cairo,Africa,2025,2,0.29000000000000004,2025-02-01
Cairo,Africa,2025,3,0.284,2025-03-01
Cairo,Africa,2025,4,0.2975,2025-04-01
Cairo,Africa,2025,5,0.245,2025-05-01
Cairo,Africa,2025,6,0.22600000000000003,2025-06-01
Cairo,Africa,2025,7,0.5025000000000001,2025-07-01
Cairo,Africa,2025,8,0.8300000000000001,2025-08-01
Cairo,Africa,2025,9,0.7050000000000001,2025-09-01
Cairo,Africa,2025,10,0.6475,2025-10-01
Cairo,Africa,2025,11,0.8539999999999999,2025-11-01
Cairo,Africa,2025,12,0.4666666666666666,2025-12-01
Bangkok,Asia,2023,12,0.5,2023-12-01
Bangkok,Asia,2024,1,0.4275,2024-01-01
Bangkok,Asia,2024,2,0.4075,2024-02-01
Bangkok,Asia,2024,3,0.394,2024-03-01
Bangkok,Asia,2024,4,0.395,2024-04-01
Bangkok,Asia,2024,5,0.43,2024-05-01
Bangkok,Asia,2024,6,0.4,2024-06-01
Bangkok,Asia,2024,7,0.39,2024-07-01
Bangkok,Asia,2024,8,0.385,2024-08-01
Bangkok,Asia,2024,9,0.38,2024-09-01
Bangkok,Asia,2024,10,0.415,2024-10-01
Bangkok,Asia,2024,11,0.46,2024-11-01
Bangkok,Asia,2024,12,0.47400000000000003,2024-12-01
Bangkok,Asia,2025,1,0.495,2025-01-01
Bangkok,Asia,2025,2,0.44,2025-02-01
Bangkok,Asia,2025,3,0.43200000000000005,2025-03-01
Bangkok,Asia,2025,4,0.41,2025-04-01
Bangkok,Asia,2025,5,0.3875,2025-05-01
Bangkok,Asia,2025,6,0.384,2025-06-01
Bangkok,Asia,2025,7,0.5025,2025-07-01
Bangkok,Asia,2025,8,0.784,2025-08-01
Bangkok,Asia,2025,9,0.61,2025-09-01
Bangkok,Asia,2025,10,0.5774999999999999,2025-10-01
Bangkok,Asia,2025,11,0.77,2025-11-01
Bangkok,Asia,2025,12,0.5866666666666667,2025-12-01
Istanbul,Asia,2023,12,0.31,2023-12-01
Istanbul,Asia,2024,1,0.3075,2024-01-01
Istanbul,Asia,2024,2,0.295,2024-02-01
Istanbul,Asia,2024,3,0.32199999999999995,2024-03-01
Istanbul,Asia,2024,4,0.33499999999999996,2024-04-01
Istanbul,Asia,2024,5,0.3325,2024-05-01
Istanbul,Asia,2024,6,0.332,2024-06-01
Istanbul,Asia,2024,7,0.32,2024-07-01
Istanbul,Asia,2024,8,0.335,2024-08-01
Istanbul,Asia,2024,9,0.316,2024-09-01
Istanbul,Asia,2024,10,0.265,2024-10-01
Istanbul,Asia,2024,11,0.2575,2024-11-01
Istanbul,Asia,2024,12,0.294,2024-12-01
Istanbul,Asia,2025,1,0.315,2025-01-01
Istanbul,Asia,2025,2,0.2775,2025-02-01
Istanbul,Asia,2025,3,0.296,2025-03-01
Istanbul,Asia,2025,4,0.2975,2025-04-01
Istanbul,Asia,2025,5,0.2475,2025-05-01
Istanbul,Asia,2025,6,0.23399999999999999,2025-06-01
Istanbul,Asia,2025,7,0.4275,2025-07-01
Istanbul,Asia,2025,8,0.792,2025-08-01
Istanbul,Asia,2025,9,0.565,2025-09-01
Istanbul,Asia,2025,10,0.4675,2025-10-01
Istanbul,Asia,2025,11,0.694,2025-11-01
Istanbul,Asia,2025,12,0.41,2025-12-01
Tokyo,Asia,2023,12,0.34,2023-12-01
Tokyo,Asia,2024,1,0.2975,2024-01-01
Tokyo,Asia,2024,2,0.3075,2024-02-01
Tokyo,Asia,2024,3,0.344,2024-03-01
Tokyo,Asia,2024,4,0.335,2024-04-01
Tokyo,Asia,2024,5,0.34750000000000003,2024-05-01
Tokyo,Asia,2024,6,0.322,2024-06-01
Tokyo,Asia,2024,7,0.3225,2024-07-01
Tokyo,Asia,2024,8,0.33,2024-08-01
Tokyo,Asia,2024,9,0.33799999999999997,2024-09-01
Tokyo,Asia,2024,10,0.3525,2024-10-01
Tokyo,Asia,2024,11,0.34,2024-11-01
Tokyo,Asia,2024,12,0.376,2024-12-01
Tokyo,Asia,2025,1,0.4475,2025-01-01
Tokyo,Asia,2025,2,0.37,2025-02-01
Tokyo,Asia,2025,3,0.4,2025-03-01
Tokyo,Asia,2025,4,0.385,2025-04-01
Tokyo,Asia,2025,5,0.3575,2025-05-01
Tokyo,Asia,2025,6,0.344,2025-06-01
Tokyo,Asia,2025,7,0.47250000000000003,2025-07-01
Tokyo,Asia,2025,8,0.7939999999999999,2025-08-01
Tokyo,Asia,2025,9,0.655,2025-09-01
Tokyo,Asia,2025,10,0.645,2025-10-01
Tokyo,Asia,2025,11,0.742,2025-11-01
Tokyo,Asia,2025,12,0.5066666666666667,2025-12-01
Amsterdam,Europe,2023,12,0.56,2023-12-01
Amsterdam,Europe,2024,1,0.4725,2024-01-01
Amsterdam,Europe,2024,2,0.4825,2024-02-01
Amsterdam,Europe,2024,3,0.47400000000000003,2024-03-01
Amsterdam,Europe,2024,4,0.4625,2024-04-01
Amsterdam,Europe,2024,5,0.43,2024-05-01
Amsterdam,Europe,2024,6,0.426,2024-06-01
Amsterdam,Europe,2024,7,0.4625,2024-07-01
Amsterdam,Europe,2024,8,0.4525,2024-08-01
Amsterdam,Europe,2024,9,0.414,2024-09-01
Amsterdam,Europe,2024,10,0.4025,2024-10-01
Amsterdam,Europe,2024,11,0.3725,2024-11-01
Amsterdam,Europe,2024,12,0.418,2024-12-01
Amsterdam,Europe,2025,1,0.47250000000000003,2025-01-01
Amsterdam,Europe,2025,2,0.445,2025-02-01
Amsterdam,Europe,2025,3,0.44000000000000006,2025-03-01
Amsterdam,Europe,2025,4,0.45499999999999996,2025-04-01
Amsterdam,Europe,2025,5,0.43,2025-05-01
Amsterdam,Europe,2025,6,0.414,2025-06-01
Amsterdam,Europe,2025,7,0.5549999999999999,2025-07-01
