date,city,tourism_index,year,month,quarter,day_of_year,week_of_year,continent
2023-12-31,Cairo,0.24,2023,12,4,365,52,Africa
2024-01-07,Cairo,0.3,2024,1,1,7,1,Africa
2024-01-14,Cairo,0.3,2024,1,1,14,2,Africa
2024-01-21,Cairo,0.26,2024,1,1,21,3,Africa
2024-01-28,Cairo,0.22,2024,1,1,28,4,Africa
2024-02-04,Cairo,0.27,2024,2,1,35,5,Africa
2024-02-11,Cairo,0.23,2024,2,1,42,6,Africa
2024-02-18,Cairo,0.26,2024,2,1,49,7,Africa
2024-02-25,Cairo,0.27,2024,2,1,56,8,Africa
2024-03-03,Cairo,0.24,2024,3,1,63,9,Africa
2024-03-10,Cairo,0.21,2024,3,1,70,10,Africa
2024-03-17,Cairo,0.24,2024,3,1,77,11,Africa
2024-03-24,Cairo,0.24,2024,3,1,84,12,Africa
2024-03-31,Cairo,0.23,2024,3,1,91,13,Africa
2024-04-07,Cairo,0.27,2024,4,2,98,14,Africa
2024-04-14,Cairo,0.25,2024,4,2,105,15,Africa
2024-04-21,Cairo,0.21,2024,4,2,112,16,Africa
2024-04-28,Cairo,0.26,2024,4,2,119,17,Africa
2024-05-05,Cairo,0.24,2024,5,2,126,18,Africa
2024-05-12,Cairo,0.25,2024,5,2,133,19,Africa
2024-05-19,Cairo,0.22,2024,5,2,140,20,Africa
2024-05-26,Cairo,0.21,2024,5,2,147,21,Africa
2024-06-02,Cairo,0.21,2024,6,2,154,22,Africa
2024-06-09,Cairo,0.15,2024,6,2,161,23,Africa
2024-06-16,Cairo,0.22,2024,6,2,168,24,Africa
2024-06-23,Cairo,0.22,2024,6,2,175,25,Africa
2024-06-30,Cairo,0.19,2024,6,2,182,26,Africa
2024-07-07,Cairo,0.25,2024,7,3,189,27,Africa
2024-07-14,Cairo,0.22,2024,7,3,196,28,Africa
2024-07-21,Cairo,0.25,2024,7,3,203,29,Africa
2024-07-28,Cairo,0.21,2024,7,3,210,30,Africa
2024-08-04,Cairo,0.18,2024,8,3,217,31,Africa
2024-08-11,Cairo,0.21,2024,8,3,224,32,Africa
2024-08-18,Cairo,0.25,2024,8,3,231,33,Africa
2024-08-25,Cairo,0.24,2024,8,3,238,34,Africa
2024-09-01,Cairo,0.25,2024,9,3,245,35,Africa
2024-09-08,Cairo,0.23,2024,9,3,252,36,Africa
2024-09-15,Cairo,0.25,2024,9,3,259,37,Africa
2024-09-22,Cairo,0.25,2024,9,3,266,38,Africa
2024-09-29,Cairo,0.28,2024,9,3,273,39,Africa
2024-10-06,Cairo,0.24,2024,10,4,280,40,Africa
2024-10-13,Cairo,0.26,2024,10,4,287,41,Africa
2024-10-20,Cairo,0.3,2024,10,4,294,42,Africa
2024-10-27,Cairo,0.23,2024,10,4,301,43,Africa
2024-11-03,Cairo,0.29,2024,11,4,308,44,Africa
2024-11-10,Cairo,0.29,2024,11,4,315,45,Africa
2024-11-17,Cairo,0.31,2024,11,4,322,46,Africa
2024-11-24,Cairo,0.25,2024,11,4,329,47,Africa
2024-12-01,Cairo,0.27,2024,12,4,336,48,Africa
2024-12-08,Cairo,0.26,2024,12,4,343,49,Africa
2024-12-15,Cairo,0.25,2024,12,4,350,50,Africa
2024-12-22,Cairo,0.33,2024,12,4,357,51,Africa
2024-12-29,Cairo,0.29,2024,12,4,364,52,Africa
2025-01-05,Cairo,0.32,2025,1,1,5,1,Africa
2025-01-12,Cairo,0.34,2025,1,1,12,2,Africa
2025-01-19,Cairo,0.35,2025,1,1,19,3,Africa
2025-01-26,Cairo,0.21,2025,1,1,26,4,Africa
2025-02-02,Cairo,0.28,2025,2,1,33,5,Africa
2025-02-09,Cairo,0.27,2025,2,1,40,6,Africa
2025-02-16,Cairo,0.27,2025,2,1,47,7,Africa
2025-02-23,Cairo,0.34,2025,2,1,54,8,Africa
2025-03-02,Cairo,0.27,2025,3,1,61,9,Africa
2025-03-09,Cairo,0.3,2025,3,1,68,10,Africa
2025-03-16,Cairo,0.29,2025,3,1,75,11,Africa
2025-03-23,Cairo,0.28,2025,3,1,82,12,Africa
2025-03-30,Cairo,0.28,2025,3,1,89,13,Africa
2025-04-06,Cairo,0.32,2025,4,2,96,14,Africa
2025-04-13,Cairo,0.25,2025,4,2,103,15,Africa
2025-04-20,Cairo,0.34,2025,4,2,110,16,Africa
2025-04-27,Cairo,0.28,2025,4,2,117,17,Africa
2025-05-04,Cairo,0.26,2025,5,2,124,18,Africa
2025-05-11,Cairo,0.26,2025,5,2,131,19,Africa
2025-05-18,Cairo,0.2,2025,5,2,138,20,Africa
2025-05-25,Cairo,0.26,2025,5,2,145,21,Africa
2025-06-01,Cairo,0.27,2025,6,2,152,22,Africa
2025-06-08,Cairo,0.24,2025,6,2,159,23,Africa
2025-06-15,Cairo,0.2,2025,6,2,166,24,Africa
2025-06-22,Cairo,0.22,2025,6,2,173,25,Africa
2025-06-29,Cairo,0.2,2025,6,2,180,26,Africa
2025-07-06,Cairo,0.28,2025,7,3,187,27,Africa
2025-07-13,Cairo,0.41,2025,7,3,194,28,Africa
2025-07-20,Cairo,0.65,2025,7,3,201,29,Africa
2025-07-27,Cairo,0.67,2025,7,3,208,30,Africa
2025-08-03,Cairo,0.76,2025,8,3,215,31,Africa
2025-08-10,Cairo,1.0,2025,8,3,222,32,Africa
2025-08-17,Cairo,0.8,2025,8,3,229,33,Africa
2025-08-24,Cairo,0.69,2025,8,3,236,34,Africa
2025-08-31,Cairo,0.9,2025,8,3,243,35,Africa
2025-09-07,Cairo,0.74,2025,9,3,250,36,Africa
2025-09-14,Cairo,0.76,2025,9,3,257,37,Africa
2025-09-21,Cairo,0.66,2025,9,3,264,38,Africa
2025-09-28,Cairo,0.66,2025,9,3,271,39,Africa
2025-10-05,Cairo,0.6,2025,10,4,278,40,Africa
2025-10-12,Cairo,0.59,2025,10,4,285,41,Africa
