date,city,tourism_index,year,month,quarter,day_of_year,week_of_year,continent
2023-12-31,Bangkok,0.5,2023,12,4,365,52,Asia
2023-12-31,Istanbul,0.31,2023,12,4,365,52,Asia
2023-12-31,Tokyo,0.34,2023,12,4,365,52,Asia
2024-01-07,Bangkok,0.46,2024,1,1,7,1,Asia
2024-01-07,Istanbul,0.29,2024,1,1,7,1,Asia
2024-01-07,Tokyo,0.29,2024,1,1,7,1,Asia
2024-01-14,Bangkok,0.41,2024,1,1,14,2,Asia
2024-01-14,Istanbul,0.34,2024,1,1,14,2,Asia
2024-01-14,Tokyo,0.32,2024,1,1,14,2,Asia
2024-01-21,Bangkok,0.42,2024,1,1,21,3,Asia
2024-01-21,Istanbul,0.28,2024,1,1,21,3,Asia
2024-01-21,Tokyo,0.28,2024,1,1,21,3,Asia
2024-01-28,Bangkok,0.42,2024,1,1,28,4,Asia
2024-01-28,Istanbul,0.32,2024,1,1,28,4,Asia
2024-01-28,Tokyo,0.3,2024,1,1,28,4,Asia
2024-02-04,Bangkok,0.41,2024,2,1,35,5,Asia
2024-02-04,Istanbul,0.28,2024,2,1,35,5,Asia
2024-02-04,Tokyo,0.31,2024,2,1,35,5,Asia
2024-02-11,Bangkok,0.41,2024,2,1,42,6,Asia
2024-02-11,Istanbul,0.31,2024,2,1,42,6,Asia
2024-02-11,Tokyo,0.3,2024,2,1,42,6,Asia
2024-02-18,Bangkok,0.44,2024,2,1,49,7,Asia
2024-02-18,Istanbul,0.29,2024,2,1,49,7,Asia
2024-02-18,Tokyo,0.3,2024,2,1,49,7,Asia
2024-02-25,Bangkok,0.37,2024,2,1,56,8,Asia
2024-02-25,Istanbul,0.3,2024,2,1,56,8,Asia
2024-02-25,Tokyo,0.32,2024,2,1,56,8,Asia
2024-03-03,Bangkok,0.41,2024,3,1,63,9,Asia
2024-03-03,Istanbul,0.3,2024,3,1,63,9,Asia
2024-03-03,Tokyo,0.36,2024,3,1,63,9,Asia
2024-03-10,Bangkok,0.36,2024,3,1,70,10,Asia
2024-03-10,Istanbul,0.29,2024,3,1,70,10,Asia
2024-03-10,Tokyo,0.33,2024,3,1,70,10,Asia
2024-03-17,Bangkok,0.38,2024,3,1,77,11,Asia
2024-03-17,Istanbul,0.34,2024,3,1,77,11,Asia
2024-03-17,Tokyo,0.33,2024,3,1,77,11,Asia
2024-03-24,Bangkok,0.41,2024,3,1,84,12,Asia
2024-03-24,Istanbul,0.33,2024,3,1,84,12,Asia
2024-03-24,Tokyo,0.35,2024,3,1,84,12,Asia
2024-03-31,Bangkok,0.41,2024,3,1,91,13,Asia
2024-03-31,Istanbul,0.35,2024,3,1,91,13,Asia
2024-03-31,Tokyo,0.35,2024,3,1,91,13,Asia
2024-04-07,Bangkok,0.43,2024,4,2,98,14,Asia
2024-04-07,Istanbul,0.33,2024,4,2,98,14,Asia
2024-04-07,Tokyo,0.35,2024,4,2,98,14,Asia
2024-04-14,Bangkok,0.41,2024,4,2,105,15,Asia
2024-04-14,Istanbul,0.3,2024,4,2,105,15,Asia
2024-04-14,Tokyo,0.34,2024,4,2,105,15,Asia
2024-04-21,Bangkok,0.37,2024,4,2,112,16,Asia
2024-04-21,Istanbul,0.35,2024,4,2,112,16,Asia
2024-04-21,Tokyo,0.31,2024,4,2,112,16,Asia
2024-04-28,Bangkok,0.37,2024,4,2,119,17,Asia
2024-04-28,Istanbul,0.36,2024,4,2,119,17,Asia
2024-04-28,Tokyo,0.34,2024,4,2,119,17,Asia
2024-05-05,Bangkok,0.41,2024,5,2,126,18,Asia
2024-05-05,Istanbul,0.32,2024,5,2,126,18,Asia
2024-05-05,Tokyo,0.33,2024,5,2,126,18,Asia
2024-05-12,Bangkok,0.43,2024,5,2,133,19,Asia
2024-05-12,Istanbul,0.32,2024,5,2,133,19,Asia
2024-05-12,Tokyo,0.37,2024,5,2,133,19,Asia
2024-05-19,Bangkok,0.43,2024,5,2,140,20,Asia
2024-05-19,Istanbul,0.33,2024,5,2,140,20,Asia
2024-05-19,Tokyo,0.35,2024,5,2,140,20,Asia
2024-05-26,Bangkok,0.45,2024,5,2,147,21,Asia
2024-05-26,Istanbul,0.36,2024,5,2,147,21,Asia
2024-05-26,Tokyo,0.34,2024,5,2,147,21,Asia
2024-06-02,Bangkok,0.4,2024,6,2,154,22,Asia
2024-06-02,Istanbul,0.34,2024,6,2,154,22,Asia
2024-06-02,Tokyo,0.33,2024,6,2,154,22,Asia
2024-06-09,Bangkok,0.42,2024,6,2,161,23,Asia
2024-06-09,Istanbul,0.31,2024,6,2,161,23,Asia
