date,city,tourism_index,year,month,quarter,day_of_year,week_of_year,continent
2023-12-31,Amsterdam,0.56,2023,12,4,365,52,Europe
2023-12-31,Barcelona,0.34,2023,12,4,365,52,Europe
2023-12-31,London,0.47,2023,12,4,365,52,Europe
2023-12-31,Paris,0.36,2023,12,4,365,52,Europe
2023-12-31,Rome,0.57,2023,12,4,365,52,Europe
2023-12-31,Venice,0.66,2023,12,4,365,52,Europe
2024-01-07,Amsterdam,0.46,2024,1,1,7,1,Europe
2024-01-07,Barcelona,0.34,2024,1,1,7,1,Europe
2024-01-07,London,0.42,2024,1,1,7,1,Europe
2024-01-07,Paris,0.35,2024,1,1,7,1,Europe
2024-01-07,Rome,0.56,2024,1,1,7,1,Europe
2024-01-07,Venice,0.55,2024,1,1,7,1,Europe
2024-01-14,Amsterdam,0.51,2024,1,1,14,2,Europe
2024-01-14,Barcelona,0.35,2024,1,1,14,2,Europe
2024-01-14,London,0.41,2024,1,1,14,2,Europe
2024-01-14,Paris,0.36,2024,1,1,14,2,Europe
2024-01-14,Rome,0.54,2024,1,1,14,2,Europe
2024-01-14,Venice,0.58,2024,1,1,14,2,Europe
2024-01-21,Amsterdam,0.45,2024,1,1,21,3,Europe
2024-01-21,Barcelona,0.37,2024,1,1,21,3,Europe
2024-01-21,London,0.42,2024,1,1,21,3,Europe
2024-01-21,Paris,0.34,2024,1,1,21,3,Europe
2024-01-21,Rome,0.53,2024,1,1,21,3,Europe
2024-01-21,Venice,0.57,2024,1,1,21,3,Europe
2024-01-28,Amsterdam,0.47,2024,1,1,28,4,Europe
2024-01-28,Barcelona,0.37,2024,1,1,28,4,Europe
2024-01-28,London,0.43,2024,1,1,28,4,Europe
2024-01-28,Paris,0.37,2024,1,1,28,4,Europe
2024-01-28,Rome,0.55,2024,1,1,28,4,Europe
2024-01-28,Venice,0.59,2024,1,1,28,4,Europe
2024-02-04,Amsterdam,0.47,2024,2,1,35,5,Europe
2024-02-04,Barcelona,0.36,2024,2,1,35,5,Europe
2024-02-04,London,0.44,2024,2,1,35,5,Europe
2024-02-04,Paris,0.37,2024,2,1,35,5,Europe
2024-02-04,Rome,0.58,2024,2,1,35,5,Europe
2024-02-04,Venice,0.6,2024,2,1,35,5,Europe
2024-02-11,Amsterdam,0.45,2024,2,1,42,6,Europe
2024-02-11,Barcelona,0.34,2024,2,1,42,6,Europe
2024-02-11,London,0.47,2024,2,1,42,6,Europe
2024-02-11,Paris,0.35,2024,2,1,42,6,Europe
2024-02-11,Rome,0.54,2024,2,1,42,6,Europe
2024-02-11,Venice,0.63,2024,2,1,42,6,Europe
2024-02-18,Amsterdam,0.49,2024,2,1,49,7,Europe
2024-02-18,Barcelona,0.37,2024,2,1,49,7,Europe
2024-02-18,London,0.44,2024,2,1,49,7,Europe
2024-02-18,Paris,0.35,2024,2,1,49,7,Europe
2024-02-18,Rome,0.56,2024,2,1,49,7,Europe
2024-02-18,Venice,0.58,2024,2,1,49,7,Europe
2024-02-25,Amsterdam,0.52,2024,2,1,56,8,Europe
2024-02-25,Barcelona,0.35,2024,2,1,56,8,Europe
2024-02-25,London,0.41,2024,2,1,56,8,Europe
2024-02-25,Paris,0.36,2024,2,1,56,8,Europe
2024-02-25,Rome,0.58,2024,2,1,56,8,Europe
2024-02-25,Venice,0.56,2024,2,1,56,8,Europe
2024-03-03,Amsterdam,0.47,2024,3,1,63,9,Europe
2024-03-03,Barcelona,0.35,2024,3,1,63,9,Europe
2024-03-03,London,0.42,2024,3,1,63,9,Europe
2024-03-03,Paris,0.38,2024,3,1,63,9,Europe
2024-03-03,Rome,0.59,2024,3,1,63,9,Europe
2024-03-03,Venice,0.58,2024,3,1,63,9,Europe
2024-03-10,Amsterdam,0.44,2024,3,1,70,10,Europe
2024-03-10,Barcelona,0.37,2024,3,1,70,10,Europe
2024-03-10,London,0.42,2024,3,1,70,10,Europe
2024-03-10,Paris,0.37,2024,3,1,70,10,Europe
2024-03-10,Rome,0.53,2024,3,1,70,10,Europe
2024-03-10,Venice,0.56,2024,3,1,70,10,Europe
2024-03-17,Amsterdam,0.5,2024,3,1,77,11,Europe
2024-03-17,Barcelona,0.36,2024,3,1,77,11,Europe
2024-03-17,London,0.45,2024,3,1,77,11,Europe
2024-03-17,Paris,0.36,2024,3,1,77,11,Europe
2024-03-17,Rome,0.55,2024,3,1,77,11,Europe
2024-03-17,Venice,0.63,2024,3,1,77,11,Europe
