date,city,tourism_index,year,month,quarter,day_of_year,week_of_year,continent
2023-12-31,Los Angeles,0.33,2023,12,4,365,52,North America
2023-12-31,New York,0.33,2023,12,4,365,52,North America
2024-01-07,Los Angeles,0.29,2024,1,1,7,1,North America
2024-01-07,New York,0.33,2024,1,1,7,1,North America
2024-01-14,Los Angeles,0.29,2024,1,1,14,2,North America
2024-01-14,New York,0.27,2024,1,1,14,2,North America
2024-01-21,Los Angeles,0.27,2024,1,1,21,3,North America
2024-01-21,New York,0.28,2024,1,1,21,3,North America
2024-01-28,Los Angeles,0.28,2024,1,1,28,4,North America
2024-01-28,New York,0.26,2024,1,1,28,4,North America
2024-02-04,Los Angeles,0.31,2024,2,1,35,5,North America
2024-02-04,New York,0.26,2024,2,1,35,5,North America
2024-02-11,Los Angeles,0.27,2024,2,1,42,6,North America
2024-02-11,New York,0.26,2024,2,1,42,6,North America
2024-02-18,Los Angeles,0.32,2024,2,1,49,7,North America
2024-02-18,New York,0.31,2024,2,1,49,7,North America
2024-02-25,Los Angeles,0.24,2024,2,1,56,8,North America
2024-02-25,New York,0.29,2024,2,1,56,8,North America
2024-03-03,Los Angeles,0.28,2024,3,1,63,9,North America
2024-03-03,New York,0.24,2024,3,1,63,9,North America
2024-03-10,Los Angeles,0.27,2024,3,1,70,10,North America
2024-03-10,New York,0.25,2024,3,1,70,10,North America
2024-03-17,Los Angeles,0.29,2024,3,1,77,11,North America
2024-03-17,New York,0.29,2024,3,1,77,11,North America
2024-03-24,Los Angeles,0.28,2024,3,1,84,12,North America
2024-03-24,New York,0.3,2024,3,1,84,12,North America
2024-03-31,Los Angeles,0.29,2024,3,1,91,13,North America
2024-03-31,New York,0.27,2024,3,1,91,13,North America
2024-04-07,Los Angeles,0.27,2024,4,2,98,14,North America
2024-04-07,New York,0.3,2024,4,2,98,14,North America
2024-04-14,Los Angeles,0.26,2024,4,2,105,15,North America
2024-04-14,New York,0.28,2024,4,2,105,15,North America
2024-04-21,Los Angeles,0.25,2024,4,2,112,16,North America
2024-04-21,New York,0.29,2024,4,2,112,16,North America
2024-04-28,Los Angeles,0.26,2024,4,2,119,17,North America
2024-04-28,New York,0.3,2024,4,2,119,17,North America
2024-05-05,Los Angeles,0.28,2024,5,2,126,18,North America
2024-05-05,New York,0.29,2024,5,2,126,18,North America
2024-05-12,Los Angeles,0.31,2024,5,2,133,19,North America
2024-05-12,New York,0.29,2024,5,2,133,19,North America
2024-05-19,Los Angeles,0.32,2024,5,2,140,20,North America
2024-05-19,New York,0.31,2024,5,2,140,20,North America
2024-05-26,Los Angeles,0.29,2024,5,2,147,21,North America
2024-05-26,New York,0.3,2024,5,2,147,21,North America
2024-06-02,Los Angeles,0.27,2024,6,2,154,22,North America
2024-06-02,New York,0.28,2024,6,2,154,22,North America
2024-06-09,Los Angeles,0.31,2024,6,2,161,23,North America
2024-06-09,New York,0.29,2024,6,2,161,23,North America
2024-06-16,Los Angeles,0.29,2024,6,2,168,24,North America
2024-06-16,New York,0.31,2024,6,2,168,24,North America
2024-06-23,Los Angeles,0.29,2024,6,2,175,25,North America
2024-06-23,New York,0.29,2024,6,2,175,25,North America
2024-06-30,Los Angeles,0.32,2024,6,2,182,26,North America
2024-06-30,New York,0.3,2024,6,2,182,26,North America
2024-07-07,Los Angeles,0.34,2024,7,3,189,27,North America
2024-07-07,New York,0.31,2024,7,3,189,27,North America
2024-07-14,Los Angeles,0.31,2024,7,3,196,28,North America
2024-07-14,New York,0.27,2024,7,3,196,28,North America
2024-07-21,Los Angeles,0.3,2024,7,3,203,29,North America
2024-07-21,New York,0.3,2024,7,3,203,29,North America
2024-07-28,Los Angeles,0.28,2024,7,3,210,30,North America
2024-07-28,New York,0.29,2024,7,3,210,30,North America
2024-08-04,Los Angeles,0.28,2024,8,3,217,31,North America
2024-08-04,New York,0.32,2024,8,3,217,31,North America
2024-08-11,Los Angeles,0.33,2024,8,3,224,32,North America
2024-08-11,New York,0.31,2024,8,3,224,32,North America
2024-08-18,Los Angeles,0.28,2024,8,3,231,33,North America
2024-08-18,New York,0.3,2024,8,3,231,33,North America
2024-08-25,Los Angeles,0.26,2024,8,3,238,34,North America
2024-08-25,New York,0.31,2024,8,3,238,34,North America
2024-09-01,Los Angeles,0.29,2024,9,3,245,35,North America
2024-09-01,New York,0.3,2024,9,3,245,35,North America
