date,city,tourism_index,year,month,quarter,day_of_year,week_of_year,continent
2023-12-31,Sydney,0.56,2023,12,4,365,52,Oceania
2024-01-07,Sydney,0.49,2024,1,1,7,1,Oceania
2024-01-14,Sydney,0.42,2024,1,1,14,2,Oceania
2024-01-21,Sydney,0.42,2024,1,1,21,3,Oceania
2024-01-28,Sydney,0.41,2024,1,1,28,4,Oceania
2024-02-04,Sydney,0.36,2024,2,1,35,5,Oceania
2024-02-11,Sydney,0.38,2024,2,1,42,6,Oceania
2024-02-18,Sydney,0.43,2024,2,1,49,7,Oceania
2024-02-25,Sydney,0.41,2024,2,1,56,8,Oceania
2024-03-03,Sydney,0.43,2024,3,1,63,9,Oceania
2024-03-10,Sydney,0.38,2024,3,1,70,10,Oceania
2024-03-17,Sydney,0.42,2024,3,1,77,11,Oceania
2024-03-24,Sydney,0.53,2024,3,1,84,12,Oceania
2024-03-31,Sydney,0.37,2024,3,1,91,13,Oceania
2024-04-07,Sydney,0.45,2024,4,2,98,14,Oceania
2024-04-14,Sydney,0.42,2024,4,2,105,15,Oceania
2024-04-21,Sydney,0.41,2024,4,2,112,16,Oceania
2024-04-28,Sydney,0.38,2024,4,2,119,17,Oceania
2024-05-05,Sydney,0.38,2024,5,2,126,18,Oceania
2024-05-12,Sydney,0.36,2024,5,2,133,19,Oceania
2024-05-19,Sydney,0.35,2024,5,2,140,20,Oceania
2024-05-26,Sydney,0.4,2024,5,2,147,21,Oceania
2024-06-02,Sydney,0.37,2024,6,2,154,22,Oceania
2024-06-09,Sydney,0.4,2024,6,2,161,23,Oceania
2024-06-16,Sydney,0.46,2024,6,2,168,24,Oceania
2024-06-23,Sydney,0.37,2024,6,2,175,25,Oceania
2024-06-30,Sydney,0.39,2024,6,2,182,26,Oceania
2024-07-07,Sydney,0.43,2024,7,3,189,27,Oceania
2024-07-14,Sydney,0.42,2024,7,3,196,28,Oceania
2024-07-21,Sydney,0.42,2024,7,3,203,29,Oceania
2024-07-28,Sydney,0.39,2024,7,3,210,30,Oceania
2024-08-04,Sydney,0.4,2024,8,3,217,31,Oceania
2024-08-11,Sydney,0.4,2024,8,3,224,32,Oceania
