date,city,tourism_index,year,month,quarter,day_of_year,week_of_year,continent
2023-12-31,Rio de Janeiro,0.21,2023,12,4,365,52,South America
2024-01-07,Rio de Janeiro,0.22,2024,1,1,7,1,South America
2024-01-14,Rio de Janeiro,0.2,2024,1,1,14,2,South America
2024-01-21,Rio de Janeiro,0.2,2024,1,1,21,3,South America
2024-01-28,Rio de Janeiro,0.18,2024,1,1,28,4,South America
2024-02-04,Rio de Janeiro,0.21,2024,2,1,35,5,South America
2024-02-11,Rio de Janeiro,0.21,2024,2,1,42,6,South America
2024-02-18,Rio de Janeiro,0.17,2024,2,1,49,7,South America
2024-02-25,Rio de Janeiro,0.18,2024,2,1,56,8,South America
2024-03-03,Rio de Janeiro,0.2,2024,3,1,63,9,South America
2024-03-10,Rio de Janeiro,0.18,2024,3,1,70,10,South America
2024-03-17,Rio de Janeiro,0.21,2024,3,1,77,11,South America
2024-03-24,Rio de Janeiro,0.19,2024,3,1,84,12,South America
2024-03-31,Rio de Janeiro,0.2,2024,3,1,91,13,South America
2024-04-07,Rio de Janeiro,0.19,2024,4,2,98,14,South America
2024-04-14,Rio de Janeiro,0.15,2024,4,2,105,15,South America
2024-04-21,Rio de Janeiro,0.11,2024,4,2,112,16,South America
2024-04-28,Rio de Janeiro,0.25,2024,4,2,119,17,South America
2024-05-05,Rio de Janeiro,0.22,2024,5,2,126,18,South America
2024-05-12,Rio de Janeiro,0.23,2024,5,2,133,19,South America
2024-05-19,Rio de Janeiro,0.22,2024,5,2,140,20,South America
2024-05-26,Rio de Janeiro,0.21,2024,5,2,147,21,South America
2024-06-02,Rio de Janeiro,0.18,2024,6,2,154,22,South America
2024-06-09,Rio de Janeiro,0.2,2024,6,2,161,23,South America
2024-06-16,Rio de Janeiro,0.21,2024,6,2,168,24,South America
2024-06-23,Rio de Janeiro,0.21,2024,6,2,175,25,South America
2024-06-30,Rio de Janeiro,0.11,2024,6,2,182,26,South America
2024-07-07,Rio de Janeiro,0.22,2024,7,3,189,27,South America
2024-07-14,Rio de Janeiro,0.17,2024,7,3,196,28,South America
2024-07-21,Rio de Janeiro,0.21,2024,7,3,203,29,South America
2024-07-28,Rio de Janeiro,0.19,2024,7,3,210,30,South America
2024-08-04,Rio de Janeiro,0.13,2024,8,3,217,31,South America
2024-08-11,Rio de Janeiro,0.25,2024,8,3,224,32,South America
2024-08-18,Rio de Janeiro,0.19,2024,8,3,231,33,South America
2024-08-25,Rio de Janeiro,0.19,2024,8,3,238,34,South America
2024-09-01,Rio de Janeiro,0.21,2024,9,3,245,35,South America
2024-09-08,Rio de Janeiro,0.14,2024,9,3,252,36,South America
2024-09-15,Rio de Janeiro,0.17,2024,9,3,259,37,South America
2024-09-22,Rio de Janeiro,0.17,2024,9,3,266,38,South America
2024-09-29,Rio de Janeiro,0.19,2024,9,3,273,39,South America
2024-10-06,Rio de Janeiro,0.2,2024,10,4,280,40,South America
2024-10-13,Rio de Janeiro,0.23,2024,10,4,287,41,South America
2024-10-20,Rio de Janeiro,0.25,2024,10,4,294,42,South America
2024-10-27,Rio de Janeiro,0.21,2024,10,4,301,43,South America
2024-11-03,Rio de Janeiro,0.13,2024,11,4,308,44,South America
2024-11-10,Rio de Janeiro,0.24,2024,11,4,315,45,South America
2024-11-17,Rio de Janeiro,0.21,2024,11,4,322,46,South America
2024-11-24,Rio de Janeiro,0.21,2024,11,4,329,47,South America
2024-12-01,Rio de Janeiro,0.25,2024,12,4,336,48,South America
2024-12-08,Rio de Janeiro,0.19,2024,12,4,343,49,South America
2024-12-15,Rio de Janeiro,0.23,2024,12,4,350,50,South America
2024-12-22,Rio de Janeiro,0.25,2024,12,4,357,51,South America
2024-12-29,Rio de Janeiro,0.32,2024,12,4,364,52,South America
2025-01-05,Rio de Janeiro,0.4,2025,1,1,5,1,South America
2025-01-12,Rio de Janeiro,0.26,2025,1,1,12,2,South America
2025-01-19,Rio de Janeiro,0.23,2025,1,1,19,3,South America
2025-01-26,Rio de Janeiro,0.28,2025,1,1,26,4,South America
2025-02-02,Rio de Janeiro,0.2,2025,2,1,33,5,South America
2025-02-09,Rio de Janeiro,0.17,2025,2,1,40,6,South America
2025-02-16,Rio de Janeiro,0.24,2025,2,1,47,7,South America
2025-02-23,Rio de Janeiro,0.22,2025,2,1,54,8,South America
2025-03-02,Rio de Janeiro,0.32,2025,3,1,61,9,South America
2025-03-09,Rio de Janeiro,0.27,2025,3,1,68,10,South America
2025-03-16,Rio de Janeiro,0.26,2025,3,1,75,11,South America
2025-03-23,Rio de Janeiro,0.18,2025,3,1,82,12,South America
2025-03-30,Rio de Janeiro,0.24,2025,3,1,89,13,South America
2025-04-06,Rio de Janeiro,0.23,2025,4,2,96,14,South America
2025-04-13,Rio de Janeiro,0.18,2025,4,2,103,15,South America
2025-04-20,Rio de Janeiro,0.16,2025,4,2,110,16,South America
2025-04-27,Rio de Janeiro,0.23,2025,4,2,117,17,South America
2025-05-04,Rio de Janeiro,0.21,2025,5,2,124,18,South America
2025-05-11,Rio de Janeiro,0.28,2025,5,2,131,19,South America
2025-05-18,Rio de Janeiro,0.2,2025,5,2,138,20,South America
2025-05-25,Rio de Janeiro,0.18,2025,5,2,145,21,South America
2025-06-01,Rio de Janeiro,0.16,2025,6,2,152,22,South America
2025-06-08,Rio de Janeiro,0.25,2025,6,2,159,23,South America
2025-06-15,Rio de Janeiro,0.2,2025,6,2,166,24,South America
2025-06-22,Rio de Janeiro,0.19,2025,6,2,173,25,South America
2025-06-29,Rio de Janeiro,0.2,2025,6,2,180,26,South America
2025-07-06,Rio de Janeiro,0.27,2025,7,3,187,27,South America
2025-07-13,Rio de Janeiro,0.24,2025,7,3,194,28,South America
2025-07-20,Rio de Janeiro,0.36,2025,7,3,201,29,South America
2025-07-27,Rio de Janeiro,0.47,2025,7,3,208,30,South America
2025-08-03,Rio de Janeiro,0.6,2025,8,3,215,31,South America
2025-08-10,Rio de Janeiro,1.0,2025,8,3,222,32,South America
2025-08-17,Rio de Janeiro,0.77,2025,8,3,229,33,South America
2025-08-24,Rio de Janeiro,0.64,2025,8,3,236,34,South America
2025-08-31,Rio de Janeiro,0.71,2025,8,3,243,35,South America
2025-09-07,Rio de Janeiro,0.57,2025,9,3,250,36,South America
2025-09-14,Rio de Janeiro,0.49,2025,9,3,257,37,South America
2025-09-21,Rio de Janeiro,0.49,2025,9,3,264,38,South America
2025-09-28,Rio de Janeiro,0.54,2025,9,3,271,39,South America
2025-10-05,Rio de Janeiro,0.49,2025,10,4,278,40,South America
2025-10-12,Rio de Janeiro,0.48,2025,10,4,285,41,South America
2025-10-19,Rio de Janeiro,0.46,2025,10,4,292,42,South America
2025-10-26,Rio de Janeiro,0.58,2025,10,4,299,43,South America
2025-11-02,Rio de Janeiro,0.52,2025,11,4,306,44,South America
2025-11-09,Rio de Janeiro,0.48,2025,11,4,313,45,South America
2025-11-16,Rio de Janeiro,0.51,2025,11,4,320,46,South America
2025-11-23,Rio de Janeiro,0.75,2025,11,4,327,47,South America
2025-11-30,Rio de Janeiro,0.97,2025,11,4,334,48,South America
2025-12-07,Rio de Janeiro,0.67,2025,12,4,341,49,South America
2025-12-14,Rio de Janeiro,0.28,2025,12,4,348,50,South America
2025-12-21,Rio de Janeiro,0.31,2025,12,4,355,51,South America
