year,month,continent,tourism_index,date
2023,12,Africa,0.24,2023-12-01
2024,1,Africa,0.27,2024-01-01
2024,2,Africa,0.2575,2024-02-01
2024,3,Africa,0.23199999999999998,2024-03-01
2024,4,Africa,0.2475,2024-04-01
2024,5,Africa,0.22999999999999998,2024-05-01
2024,6,Africa,0.198,2024-06-01
2024,7,Africa,0.23249999999999998,2024-07-01
2024,8,Africa,0.22,2024-08-01
2024,9,Africa,0.252,2024-09-01
2024,10,Africa,0.2575,2024-10-01
2024,11,Africa,0.285,2024-11-01
2024,12,Africa,0.27999999999999997,2024-12-01
2025,1,Africa,0.305,2025-01-01
2025,2,Africa,0.29000000000000004,2025-02-01
2025,3,Africa,0.284,2025-03-01
2025,4,Africa,0.2975,2025-04-01
2025,5,Africa,0.245,2025-05-01
2025,6,Africa,0.22600000000000003,2025-06-01
2025,7,Africa,0.5025000000000001,2025-07-01
2025,8,Africa,0.8300000000000001,2025-08-01
2025,9,Africa,0.7050000000000001,2025-09-01
2025,10,Africa,0.6475,2025-10-01
2025,11,Africa,0.8539999999999999,2025-11-01
2025,12,Africa,0.4666666666666666,2025-12-01
2023,12,Asia,0.3833333333333333,2023-12-01
2024,1,Asia,0.3441666666666667,2024-01-01
2024,2,Asia,0.33666666666666667,2024-02-01
2024,3,Asia,0.35333333333333333,2024-03-01
2024,4,Asia,0.355,2024-04-01
2024,5,Asia,0.37000000000000005,2024-05-01
2024,6,Asia,0.3513333333333334,2024-06-01
2024,7,Asia,0.3441666666666667,2024-07-01
2024,8,Asia,0.35000000000000003,2024-08-01
2024,9,Asia,0.3446666666666667,2024-09-01
2024,10,Asia,0.3441666666666667,2024-10-01
2024,11,Asia,0.35250000000000004,2024-11-01
2024,12,Asia,0.38133333333333336,2024-12-01
2025,1,Asia,0.4191666666666667,2025-01-01
2025,2,Asia,0.3625,2025-02-01
2025,3,Asia,0.376,2025-03-01
2025,4,Asia,0.3641666666666667,2025-04-01
2025,5,Asia,0.33083333333333337,2025-05-01
2025,6,Asia,0.32066666666666666,2025-06-01
2025,7,Asia,0.4675,2025-07-01
2025,8,Asia,0.7899999999999999,2025-08-01
2025,9,Asia,0.61,2025-09-01
2025,10,Asia,0.5633333333333334,2025-10-01
