date,city,tourism_index,year,month,quarter,day_of_year,week_of_year,continent
2023-12-31,Amsterdam,0.56,2023,12,4,365,52,Europe
2023-12-31,Bangkok,0.5,2023,12,4,365,52,Asia
2023-12-31,Barcelona,0.34,2023,12,4,365,52,Europe
2023-12-31,Cairo,0.24,2023,12,4,365,52,Africa
2023-12-31,Istanbul,0.31,2023,12,4,365,52,Asia
2023-12-31,London,0.47,2023,12,4,365,52,Europe
2023-12-31,Los Angeles,0.33,2023,12,4,365,52,North America
2023-12-31,New York,0.33,2023,12,4,365,52,North America
2023-12-31,Paris,0.36,2023,12,4,365,52,Europe
2023-12-31,Rio de Janeiro,0.21,2023,12,4,365,52,South America
2023-12-31,Rome,0.57,2023,12,4,365,52,Europe
2023-12-31,Sydney,0.56,2023,12,4,365,52,Oceania
2023-12-31,Tokyo,0.34,2023,12,4,365,52,Asia
2023-12-31,Venice,0.66,2023,12,4,365,52,Europe
2024-01-07,Amsterdam,0.46,2024,1,1,7,1,Europe
2024-01-07,Bangkok,0.46,2024,1,1,7,1,Asia
2024-01-07,Barcelona,0.34,2024,1,1,7,1,Europe
2024-01-07,Cairo,0.3,2024,1,1,7,1,Africa
2024-01-07,Istanbul,0.29,2024,1,1,7,1,Asia
2024-01-07,London,0.42,2024,1,1,7,1,Europe
2024-01-07,Los Angeles,0.29,2024,1,1,7,1,North America
2024-01-07,New York,0.33,2024,1,1,7,1,North America
2024-01-07,Paris,0.35,2024,1,1,7,1,Europe
2024-01-07,Rio de Janeiro,0.22,2024,1,1,7,1,South America
2024-01-07,Rome,0.56,2024,1,1,7,1,Europe
2024-01-07,Sydney,0.49,2024,1,1,7,1,Oceania
2024-01-07,Tokyo,0.29,2024,1,1,7,1,Asia
2024-01-07,Venice,0.55,2024,1,1,7,1,Europe
2024-01-14,Amsterdam,0.51,2024,1,1,14,2,Europe
2024-01-14,Bangkok,0.41,2024,1,1,14,2,Asia
2024-01-14,Barcelona,0.35,2024,1,1,14,2,Europe
2024-01-14,Cairo,0.3,2024,1,1,14,2,Africa
2024-01-14,Istanbul,0.34,2024,1,1,14,2,Asia
2024-01-14,London,0.41,2024,1,1,14,2,Europe
2024-01-14,Los Angeles,0.29,2024,1,1,14,2,North America
2024-01-14,New York,0.27,2024,1,1,14,2,North America
2024-01-14,Paris,0.36,2024,1,1,14,2,Europe
2024-01-14,Rio de Janeiro,0.2,2024,1,1,14,2,South America
2024-01-14,Rome,0.54,2024,1,1,14,2,Europe
2024-01-14,Sydney,0.42,2024,1,1,14,2,Oceania
2024-01-14,Tokyo,0.32,2024,1,1,14,2,Asia
2024-01-14,Venice,0.58,2024,1,1,14,2,Europe
2024-01-21,Amsterdam,0.45,2024,1,1,21,3,Europe
2024-01-21,Bangkok,0.42,2024,1,1,21,3,Asia
2024-01-21,Barcelona,0.37,2024,1,1,21,3,Europe
2024-01-21,Cairo,0.26,2024,1,1,21,3,Africa
2024-01-21,Istanbul,0.28,2024,1,1,21,3,Asia
2024-01-21,London,0.42,2024,1,1,21,3,Europe
2024-01-21,Los Angeles,0.27,2024,1,1,21,3,North America
2024-01-21,New York,0.28,2024,1,1,21,3,North America
2024-01-21,Paris,0.34,2024,1,1,21,3,Europe
2024-01-21,Rio de Janeiro,0.2,2024,1,1,21,3,South America
2024-01-21,Rome,0.53,2024,1,1,21,3,Europe
2024-01-21,Sydney,0.42,2024,1,1,21,3,Oceania
2024-01-21,Tokyo,0.28,2024,1,1,21,3,Asia
2024-01-21,Venice,0.57,2024,1,1,21,3,Europe
2024-01-28,Amsterdam,0.47,2024,1,1,28,4,Europe
2024-01-28,Bangkok,0.42,2024,1,1,28,4,Asia
2024-01-28,Barcelona,0.37,2024,1,1,28,4,Europe
2024-01-28,Cairo,0.22,2024,1,1,28,4,Africa
2024-01-28,Istanbul,0.32,2024,1,1,28,4,Asia
2024-01-28,London,0.43,2024,1,1,28,4,Europe
2024-01-28,Los Angeles,0.28,2024,1,1,28,4,North America
2024-01-28,New York,0.26,2024,1,1,28,4,North America
2024-01-28,Paris,0.37,2024,1,1,28,4,Europe
2024-01-28,Rio de Janeiro,0.18,2024,1,1,28,4,South America
2024-01-28,Rome,0.55,2024,1,1,28,4,Europe
2024-01-28,Sydney,0.41,2024,1,1,28,4,Oceania
2024-01-28,Tokyo,0.3,2024,1,1,28,4,Asia
2024-01-28,Venice,0.59,2024,1,1,28,4,Europe
2024-02-04,Amsterdam,0.47,2024,2,1,35,5,Europe
2024-02-04,Bangkok,0.41,2024,2,1,35,5,Asia
2024-02-04,Barcelona,0.36,2024,2,1,35,5,Europe
2024-02-04,Cairo,0.27,2024,2,1,35,5,Africa
2024-02-04,Istanbul,0.28,2024,2,1,35,5,Asia
2024-02-04,London,0.44,2024,2,1,35,5,Europe
2024-02-04,Los Angeles,0.31,2024,2,1,35,5,North America
2024-02-04,New York,0.26,2024,2,1,35,5,North America
2024-02-04,Paris,0.37,2024,2,1,35,5,Europe
2024-02-04,Rio de Janeiro,0.21,2024,2,1,35,5,South America
2024-02-04,Rome,0.58,2024,2,1,35,5,Europe
2024-02-04,Sydney,0.36,2024,2,1,35,5,Oceania
2024-02-04,Tokyo,0.31,2024,2,1,35,5,Asia
2024-02-04,Venice,0.6,2024,2,1,35,5,Europe
2024-02-11,Amsterdam,0.45,2024,2,1,42,6,Europe
2024-02-11,Bangkok,0.41,2024,2,1,42,6,Asia
2024-02-11,Barcelona,0.34,2024,2,1,42,6,Europe
2024-02-11,Cairo,0.23,2024,2,1,42,6,Africa
2024-02-11,Istanbul,0.31,2024,2,1,42,6,Asia
2024-02-11,London,0.47,2024,2,1,42,6,Europe
2024-02-11,Los Angeles,0.27,2024,2,1,42,6,North America
2024-02-11,New York,0.26,2024,2,1,42,6,North America
2024-02-11,Paris,0.35,2024,2,1,42,6,Europe
2024-02-11,Rio de Janeiro,0.21,2024,2,1,42,6,South America
2024-02-11,Rome,0.54,2024,2,1,42,6,Europe
2024-02-11,Sydney,0.38,2024,2,1,42,6,Oceania
2024-02-11,Tokyo,0.3,2024,2,1,42,6,Asia
2024-02-11,Venice,0.63,2024,2,1,42,6,Europe
2024-02-18,Amsterdam,0.49,2024,2,1,49,7,Europe
2024-02-18,Bangkok,0.44,2024,2,1,49,7,Asia
2024-02-18,Barcelona,0.37,2024,2,1,49,7,Europe
2024-02-18,Cairo,0.26,2024,2,1,49,7,Africa
2024-02-18,Istanbul,0.29,2024,2,1,49,7,Asia
2024-02-18,London,0.44,2024,2,1,49,7,Europe
2024-02-18,Los Angeles,0.32,2024,2,1,49,7,North America
2024-02-18,New York,0.31,2024,2,1,49,7,North America
2024-02-18,Paris,0.35,2024,2,1,49,7,Europe
2024-02-18,Rio de Janeiro,0.17,2024,2,1,49,7,South America
2024-02-18,Rome,0.56,2024,2,1,49,7,Europe
2024-02-18,Sydney,0.43,2024,2,1,49,7,Oceania
2024-02-18,Tokyo,0.3,2024,2,1,49,7,Asia
2024-02-18,Venice,0.58,2024,2,1,49,7,Europe
2024-02-25,Amsterdam,0.52,2024,2,1,56,8,Europe
2024-02-25,Bangkok,0.37,2024,2,1,56,8,Asia
2024-02-25,Barcelona,0.35,2024,2,1,56,8,Europe
2024-02-25,Cairo,0.27,2024,2,1,56,8,Africa
2024-02-25,Istanbul,0.3,2024,2,1,56,8,Asia
2024-02-25,London,0.41,2024,2,1,56,8,Europe
2024-02-25,Los Angeles,0.24,2024,2,1,56,8,North America
2024-02-25,New York,0.29,2024,2,1,56,8,North America
2024-02-25,Paris,0.36,2024,2,1,56,8,Europe
2024-02-25,Rio de Janeiro,0.18,2024,2,1,56,8,South America
2024-02-25,Rome,0.58,2024,2,1,56,8,Europe
2024-02-25,Sydney,0.41,2024,2,1,56,8,Oceania
2024-02-25,Tokyo,0.32,2024,2,1,56,8,Asia
2024-02-25,Venice,0.56,2024,2,1,56,8,Europe
2024-03-03,Amsterdam,0.47,2024,3,1,63,9,Europe
2024-03-03,Bangkok,0.41,2024,3,1,63,9,Asia
2024-03-03,Barcelona,0.35,2024,3,1,63,9,Europe
2024-03-03,Cairo,0.24,2024,3,1,63,9,Africa
2024-03-03,Istanbul,0.3,2024,3,1,63,9,Asia
2024-03-03,London,0.42,2024,3,1,63,9,Europe
2024-03-03,Los Angeles,0.28,2024,3,1,63,9,North America
2024-03-03,New York,0.24,2024,3,1,63,9,North America
2024-03-03,Paris,0.38,2024,3,1,63,9,Europe
2024-03-03,Rio de Janeiro,0.2,2024,3,1,63,9,South America
2024-03-03,Rome,0.59,2024,3,1,63,9,Europe
2024-03-03,Sydney,0.43,2024,3,1,63,9,Oceania
2024-03-03,Tokyo,0.36,2024,3,1,63,9,Asia
2024-03-03,Venice,0.58,2024,3,1,63,9,Europe
2024-03-10,Amsterdam,0.44,2024,3,1,70,10,Europe
2024-03-10,Bangkok,0.36,2024,3,1,70,10,Asia
2024-03-10,Barcelona,0.37,2024,3,1,70,10,Europe
2024-03-10,Cairo,0.21,2024,3,1,70,10,Africa
2024-03-10,Istanbul,0.29,2024,3,1,70,10,Asia
2024-03-10,London,0.42,2024,3,1,70,10,Europe
2024-03-10,Los Angeles,0.27,2024,3,1,70,10,North America
2024-03-10,New York,0.25,2024,3,1,70,10,North America
2024-03-10,Paris,0.37,2024,3,1,70,10,Europe
2024-03-10,Rio de Janeiro,0.18,2024,3,1,70,10,South America
2024-03-10,Rome,0.53,2024,3,1,70,10,Europe
2024-03-10,Sydney,0.38,2024,3,1,70,10,Oceania
2024-03-10,Tokyo,0.33,2024,3,1,70,10,Asia
2024-03-10,Venice,0.56,2024,3,1,70,10,Europe
2024-03-17,Amsterdam,0.5,2024,3,1,77,11,Europe
2024-03-17,Bangkok,0.38,2024,3,1,77,11,Asia
2024-03-17,Barcelona,0.36,2024,3,1,77,11,Europe
2024-03-17,Cairo,0.24,2024,3,1,77,11,Africa
2024-03-17,Istanbul,0.34,2024,3,1,77,11,Asia
2024-03-17,London,0.45,2024,3,1,77,11,Europe
2024-03-17,Los Angeles,0.29,2024,3,1,77,11,North America
2024-03-17,New York,0.29,2024,3,1,77,11,North America
2024-03-17,Paris,0.36,2024,3,1,77,11,Europe
2024-03-17,Rio de Janeiro,0.21,2024,3,1,77,11,South America
2024-03-17,Rome,0.55,2024,3,1,77,11,Europe
2024-03-17,Sydney,0.42,2024,3,1,77,11,Oceania
2024-03-17,Tokyo,0.33,2024,3,1,77,11,Asia
2024-03-17,Venice,0.63,2024,3,1,77,11,Europe
2024-03-24,Amsterdam,0.5,2024,3,1,84,12,Europe
2024-03-24,Bangkok,0.41,2024,3,1,84,12,Asia
2024-03-24,Barcelona,0.37,2024,3,1,84,12,Europe
2024-03-24,Cairo,0.24,2024,3,1,84,12,Africa
2024-03-24,Istanbul,0.33,2024,3,1,84,12,Asia
2024-03-24,London,0.47,2024,3,1,84,12,Europe
2024-03-24,Los Angeles,0.28,2024,3,1,84,12,North America
2024-03-24,New York,0.3,2024,3,1,84,12,North America
2024-03-24,Paris,0.39,2024,3,1,84,12,Europe
2024-03-24,Rio de Janeiro,0.19,2024,3,1,84,12,South America
2024-03-24,Rome,0.6,2024,3,1,84,12,Europe
2024-03-24,Sydney,0.53,2024,3,1,84,12,Oceania
2024-03-24,Tokyo,0.35,2024,3,1,84,12,Asia
2024-03-24,Venice,0.67,2024,3,1,84,12,Europe
2024-03-31,Amsterdam,0.46,2024,3,1,91,13,Europe
2024-03-31,Bangkok,0.41,2024,3,1,91,13,Asia
2024-03-31,Barcelona,0.33,2024,3,1,91,13,Europe
2024-03-31,Cairo,0.23,2024,3,1,91,13,Africa
2024-03-31,Istanbul,0.35,2024,3,1,91,13,Asia
2024-03-31,London,0.45,2024,3,1,91,13,Europe
2024-03-31,Los Angeles,0.29,2024,3,1,91,13,North America
2024-03-31,New York,0.27,2024,3,1,91,13,North America
2024-03-31,Paris,0.38,2024,3,1,91,13,Europe
2024-03-31,Rio de Janeiro,0.2,2024,3,1,91,13,South America
2024-03-31,Rome,0.62,2024,3,1,91,13,Europe
2024-03-31,Sydney,0.37,2024,3,1,91,13,Oceania
2024-03-31,Tokyo,0.35,2024,3,1,91,13,Asia
2024-03-31,Venice,0.59,2024,3,1,91,13,Europe
2024-04-07,Amsterdam,0.49,2024,4,2,98,14,Europe
2024-04-07,Bangkok,0.43,2024,4,2,98,14,Asia
2024-04-07,Barcelona,0.39,2024,4,2,98,14,Europe
2024-04-07,Cairo,0.27,2024,4,2,98,14,Africa
2024-04-07,Istanbul,0.33,2024,4,2,98,14,Asia
2024-04-07,London,0.46,2024,4,2,98,14,Europe
2024-04-07,Los Angeles,0.27,2024,4,2,98,14,North America
2024-04-07,New York,0.3,2024,4,2,98,14,North America
2024-04-07,Paris,0.37,2024,4,2,98,14,Europe
2024-04-07,Rio de Janeiro,0.19,2024,4,2,98,14,South America
2024-04-07,Rome,0.66,2024,4,2,98,14,Europe
2024-04-07,Sydney,0.45,2024,4,2,98,14,Oceania
2024-04-07,Tokyo,0.35,2024,4,2,98,14,Asia
2024-04-07,Venice,0.63,2024,4,2,98,14,Europe
2024-04-14,Amsterdam,0.45,2024,4,2,105,15,Europe
2024-04-14,Bangkok,0.41,2024,4,2,105,15,Asia
2024-04-14,Barcelona,0.38,2024,4,2,105,15,Europe
2024-04-14,Cairo,0.25,2024,4,2,105,15,Africa
2024-04-14,Istanbul,0.3,2024,4,2,105,15,Asia
2024-04-14,London,0.4,2024,4,2,105,15,Europe
2024-04-14,Los Angeles,0.26,2024,4,2,105,15,North America
2024-04-14,New York,0.28,2024,4,2,105,15,North America
2024-04-14,Paris,0.37,2024,4,2,105,15,Europe
2024-04-14,Rio de Janeiro,0.15,2024,4,2,105,15,South America
2024-04-14,Rome,0.6,2024,4,2,105,15,Europe
2024-04-14,Sydney,0.42,2024,4,2,105,15,Oceania
2024-04-14,Tokyo,0.34,2024,4,2,105,15,Asia
2024-04-14,Venice,0.6,2024,4,2,105,15,Europe
2024-04-21,Amsterdam,0.43,2024,4,2,112,16,Europe
2024-04-21,Bangkok,0.37,2024,4,2,112,16,Asia
2024-04-21,Barcelona,0.36,2024,4,2,112,16,Europe
2024-04-21,Cairo,0.21,2024,4,2,112,16,Africa
2024-04-21,Istanbul,0.35,2024,4,2,112,16,Asia
2024-04-21,London,0.43,2024,4,2,112,16,Europe
2024-04-21,Los Angeles,0.25,2024,4,2,112,16,North America
2024-04-21,New York,0.29,2024,4,2,112,16,North America
2024-04-21,Paris,0.38,2024,4,2,112,16,Europe
2024-04-21,Rio de Janeiro,0.11,2024,4,2,112,16,South America
2024-04-21,Rome,0.61,2024,4,2,112,16,Europe
2024-04-21,Sydney,0.41,2024,4,2,112,16,Oceania
2024-04-21,Tokyo,0.31,2024,4,2,112,16,Asia
2024-04-21,Venice,0.71,2024,4,2,112,16,Europe
2024-04-28,Amsterdam,0.48,2024,4,2,119,17,Europe
2024-04-28,Bangkok,0.37,2024,4,2,119,17,Asia
2024-04-28,Barcelona,0.39,2024,4,2,119,17,Europe
2024-04-28,Cairo,0.26,2024,4,2,119,17,Africa
2024-04-28,Istanbul,0.36,2024,4,2,119,17,Asia
2024-04-28,London,0.47,2024,4,2,119,17,Europe
2024-04-28,Los Angeles,0.26,2024,4,2,119,17,North America
2024-04-28,New York,0.3,2024,4,2,119,17,North America
2024-04-28,Paris,0.41,2024,4,2,119,17,Europe
2024-04-28,Rio de Janeiro,0.25,2024,4,2,119,17,South America
2024-04-28,Rome,0.59,2024,4,2,119,17,Europe
2024-04-28,Sydney,0.38,2024,4,2,119,17,Oceania
2024-04-28,Tokyo,0.34,2024,4,2,119,17,Asia
2024-04-28,Venice,0.7,2024,4,2,119,17,Europe
2024-05-05,Amsterdam,0.45,2024,5,2,126,18,Europe
2024-05-05,Bangkok,0.41,2024,5,2,126,18,Asia
2024-05-05,Barcelona,0.38,2024,5,2,126,18,Europe
2024-05-05,Cairo,0.24,2024,5,2,126,18,Africa
2024-05-05,Istanbul,0.32,2024,5,2,126,18,Asia
2024-05-05,London,0.44,2024,5,2,126,18,Europe
2024-05-05,Los Angeles,0.28,2024,5,2,126,18,North America
2024-05-05,New York,0.29,2024,5,2,126,18,North America
2024-05-05,Paris,0.41,2024,5,2,126,18,Europe
2024-05-05,Rio de Janeiro,0.22,2024,5,2,126,18,South America
2024-05-05,Rome,0.6,2024,5,2,126,18,Europe
2024-05-05,Sydney,0.38,2024,5,2,126,18,Oceania
2024-05-05,Tokyo,0.33,2024,5,2,126,18,Asia
2024-05-05,Venice,0.63,2024,5,2,126,18,Europe
2024-05-12,Amsterdam,0.43,2024,5,2,133,19,Europe
2024-05-12,Bangkok,0.43,2024,5,2,133,19,Asia
2024-05-12,Barcelona,0.37,2024,5,2,133,19,Europe
2024-05-12,Cairo,0.25,2024,5,2,133,19,Africa
2024-05-12,Istanbul,0.32,2024,5,2,133,19,Asia
2024-05-12,London,0.46,2024,5,2,133,19,Europe
2024-05-12,Los Angeles,0.31,2024,5,2,133,19,North America
2024-05-12,New York,0.29,2024,5,2,133,19,North America
2024-05-12,Paris,0.38,2024,5,2,133,19,Europe
2024-05-12,Rio de Janeiro,0.23,2024,5,2,133,19,South America
2024-05-12,Rome,0.61,2024,5,2,133,19,Europe
2024-05-12,Sydney,0.36,2024,5,2,133,19,Oceania
2024-05-12,Tokyo,0.37,2024,5,2,133,19,Asia
2024-05-12,Venice,0.65,2024,5,2,133,19,Europe
2024-05-19,Amsterdam,0.42,2024,5,2,140,20,Europe
2024-05-19,Bangkok,0.43,2024,5,2,140,20,Asia
2024-05-19,Barcelona,0.36,2024,5,2,140,20,Europe
2024-05-19,Cairo,0.22,2024,5,2,140,20,Africa
2024-05-19,Istanbul,0.33,2024,5,2,140,20,Asia
2024-05-19,London,0.46,2024,5,2,140,20,Europe
2024-05-19,Los Angeles,0.32,2024,5,2,140,20,North America
2024-05-19,New York,0.31,2024,5,2,140,20,North America
2024-05-19,Paris,0.38,2024,5,2,140,20,Europe
2024-05-19,Rio de Janeiro,0.22,2024,5,2,140,20,South America
2024-05-19,Rome,0.65,2024,5,2,140,20,Europe
2024-05-19,Sydney,0.35,2024,5,2,140,20,Oceania
2024-05-19,Tokyo,0.35,2024,5,2,140,20,Asia
2024-05-19,Venice,0.64,2024,5,2,140,20,Europe
2024-05-26,Amsterdam,0.42,2024,5,2,147,21,Europe
2024-05-26,Bangkok,0.45,2024,5,2,147,21,Asia
2024-05-26,Barcelona,0.37,2024,5,2,147,21,Europe
2024-05-26,Cairo,0.21,2024,5,2,147,21,Africa
2024-05-26,Istanbul,0.36,2024,5,2,147,21,Asia
2024-05-26,London,0.48,2024,5,2,147,21,Europe
2024-05-26,Los Angeles,0.29,2024,5,2,147,21,North America
2024-05-26,New York,0.3,2024,5,2,147,21,North America
2024-05-26,Paris,0.38,2024,5,2,147,21,Europe
2024-05-26,Rio de Janeiro,0.21,2024,5,2,147,21,South America
2024-05-26,Rome,0.62,2024,5,2,147,21,Europe
2024-05-26,Sydney,0.4,2024,5,2,147,21,Oceania
2024-05-26,Tokyo,0.34,2024,5,2,147,21,Asia
2024-05-26,Venice,0.59,2024,5,2,147,21,Europe
2024-06-02,Amsterdam,0.4,2024,6,2,154,22,Europe
2024-06-02,Bangkok,0.4,2024,6,2,154,22,Asia
2024-06-02,Barcelona,0.37,2024,6,2,154,22,Europe
2024-06-02,Cairo,0.21,2024,6,2,154,22,Africa
2024-06-02,Istanbul,0.34,2024,6,2,154,22,Asia
2024-06-02,London,0.43,2024,6,2,154,22,Europe
2024-06-02,Los Angeles,0.27,2024,6,2,154,22,North America
2024-06-02,New York,0.28,2024,6,2,154,22,North America
2024-06-02,Paris,0.37,2024,6,2,154,22,Europe
2024-06-02,Rio de Janeiro,0.18,2024,6,2,154,22,South America
2024-06-02,Rome,0.56,2024,6,2,154,22,Europe
2024-06-02,Sydney,0.37,2024,6,2,154,22,Oceania
2024-06-02,Tokyo,0.33,2024,6,2,154,22,Asia
2024-06-02,Venice,0.61,2024,6,2,154,22,Europe
2024-06-09,Amsterdam,0.44,2024,6,2,161,23,Europe
2024-06-09,Bangkok,0.42,2024,6,2,161,23,Asia
2024-06-09,Barcelona,0.35,2024,6,2,161,23,Europe
2024-06-09,Cairo,0.15,2024,6,2,161,23,Africa
2024-06-09,Istanbul,0.31,2024,6,2,161,23,Asia
2024-06-09,London,0.44,2024,6,2,161,23,Europe
2024-06-09,Los Angeles,0.31,2024,6,2,161,23,North America
2024-06-09,New York,0.29,2024,6,2,161,23,North America
2024-06-09,Paris,0.39,2024,6,2,161,23,Europe
2024-06-09,Rio de Janeiro,0.2,2024,6,2,161,23,South America
2024-06-09,Rome,0.6,2024,6,2,161,23,Europe
2024-06-09,Sydney,0.4,2024,6,2,161,23,Oceania
2024-06-09,Tokyo,0.33,2024,6,2,161,23,Asia
2024-06-09,Venice,0.69,2024,6,2,161,23,Europe
2024-06-16,Amsterdam,0.43,2024,6,2,168,24,Europe
2024-06-16,Bangkok,0.4,2024,6,2,168,24,Asia
2024-06-16,Barcelona,0.33,2024,6,2,168,24,Europe
2024-06-16,Cairo,0.22,2024,6,2,168,24,Africa
2024-06-16,Istanbul,0.36,2024,6,2,168,24,Asia
2024-06-16,London,0.45,2024,6,2,168,24,Europe
2024-06-16,Los Angeles,0.29,2024,6,2,168,24,North America
2024-06-16,New York,0.31,2024,6,2,168,24,North America
2024-06-16,Paris,0.37,2024,6,2,168,24,Europe
2024-06-16,Rio de Janeiro,0.21,2024,6,2,168,24,South America
2024-06-16,Rome,0.59,2024,6,2,168,24,Europe
2024-06-16,Sydney,0.46,2024,6,2,168,24,Oceania
2024-06-16,Tokyo,0.3,2024,6,2,168,24,Asia
2024-06-16,Venice,0.65,2024,6,2,168,24,Europe
2024-06-23,Amsterdam,0.44,2024,6,2,175,25,Europe
2024-06-23,Bangkok,0.39,2024,6,2,175,25,Asia
2024-06-23,Barcelona,0.35,2024,6,2,175,25,Europe
2024-06-23,Cairo,0.22,2024,6,2,175,25,Africa
2024-06-23,Istanbul,0.34,2024,6,2,175,25,Asia
2024-06-23,London,0.44,2024,6,2,175,25,Europe
2024-06-23,Los Angeles,0.29,2024,6,2,175,25,North America
2024-06-23,New York,0.29,2024,6,2,175,25,North America
