City,Price_EGP,Rating,Reviews,Link
Barcelona,9147,New,0,https://www.airbnb.com/rooms/1540075047176453153
Barcelona,15981,5.0,4,https://www.airbnb.com/rooms/1011688349919294749
Barcelona,9589,4.92,13,https://www.airbnb.com/rooms/1544961390174146724
Barcelona,8683,5.0,5,https://www.airbnb.com/rooms/1491959272532158821
Barcelona,7484,4.74,123,https://www.airbnb.com/rooms/1148647496137216055
Barcelona,9205,4.75,337,https://www.airbnb.com/rooms/32571410
Barcelona,15278,4.96,156,https://www.airbnb.com/rooms/654164495421642086
Barcelona,9333,4.79,75,https://www.airbnb.com/rooms/1321966101323673786
Barcelona,14063,4.84,68,https://www.airbnb.com/rooms/1136116957541931543
Barcelona,9333,4.65,52,https://www.airbnb.com/rooms/1322418526589928200
Barcelona,7991,4.52,48,https://www.airbnb.com/rooms/1374785564468132048
Barcelona,9589,4.0,6,https://www.airbnb.com/rooms/1302005815319691172
Barcelona,11187,New,0,https://www.airbnb.com/rooms/1544823567330967301
Barcelona,7940,New,0,https://www.airbnb.com/rooms/1568394153267671193
Barcelona,8822,New,0,https://www.airbnb.com/rooms/1527450528806027352
Barcelona,9589,4.68,22,https://www.airbnb.com/rooms/1166540450589746485
Barcelona,9333,4.78,23,https://www.airbnb.com/rooms/28662864
Barcelona,10867,4.87,15,https://www.airbnb.com/rooms/1322355446652980391
Barcelona,11174,5.0,9,https://www.airbnb.com/rooms/1529461323070349122
Barcelona,8950,4.88,32,https://www.airbnb.com/rooms/1458503124255262112
Barcelona,13104,5.0,4,https://www.airbnb.com/rooms/1543461556634306910
Barcelona,9589,4.92,123,https://www.airbnb.com/rooms/1007808716810761341
Barcelona,7084,4.78,142,https://www.airbnb.com/rooms/1134584414286515637
Barcelona,9589,4.83,72,https://www.airbnb.com/rooms/1322010717120001653
Barcelona,9333,4.78,77,https://www.airbnb.com/rooms/1321961564109345168
Barcelona,13424,4.9,29,https://www.airbnb.com/rooms/1463994034254739140
Barcelona,13424,4.8,10,https://www.airbnb.com/rooms/1518199591691878307
Barcelona,11762,5.0,4,https://www.airbnb.com/rooms/1404877859873517902
Barcelona,26848,4.83,6,https://www.airbnb.com/rooms/1542761081974322935
Barcelona,11698,4.83,236,https://www.airbnb.com/rooms/903310566793153888
Barcelona,19045,New,0,https://www.airbnb.com/rooms/1547690307592162639
Barcelona,11187,4.63,30,https://www.airbnb.com/rooms/1166541946306801142
Barcelona,11187,New,0,https://www.airbnb.com/rooms/1469510858024181417
Barcelona,10164,New,0,https://www.airbnb.com/rooms/36268648
Barcelona,9589,4.67,27,https://www.airbnb.com/rooms/1166527852276074851
Barcelona,6393,,0,https://www.airbnb.com/rooms/1524143963167493132
Barcelona,9589,4.77,30,https://www.airbnb.com/rooms/647117274000004693
Barcelona,12785,4.98,58,https://www.airbnb.com/rooms/966484139683100743
Barcelona,14703,5.0,3,https://www.airbnb.com/rooms/1547865452609951816
Barcelona,22966,New,0,https://www.airbnb.com/rooms/1568973277489757263
Barcelona,6000,4.47,833,https://www.airbnb.com/rooms/1395616579066520047
Barcelona,8935,4.7,10,https://www.airbnb.com/rooms/1150749414787336366
Barcelona,9589,4.89,9,https://www.airbnb.com/rooms/1544970391380243667
Barcelona,12529,4.75,24,https://www.airbnb.com/rooms/1463947293317767206
Barcelona,8985,4.85,13,https://www.airbnb.com/rooms/1438367482464979001
Barcelona,8630,4.56,100,https://www.airbnb.com/rooms/843583628506984374
Barcelona,8246,5.0,6,https://www.airbnb.com/rooms/1486237106510524130
Barcelona,9589,4.6,48,https://www.airbnb.com/rooms/1439873687220607180
Barcelona,12146,4.91,340,https://www.airbnb.com/rooms/27127886
Barcelona,9589,4.66,99,https://www.airbnb.com/rooms/1126153886430778614
Barcelona,7282,4.63,178,https://www.airbnb.com/rooms/1081106888283937930
Barcelona,19045,New,0,https://www.airbnb.com/rooms/1547691700545194088
Barcelona,7352,5.0,5,https://www.airbnb.com/rooms/45510539
Barcelona,14063,New,0,https://www.airbnb.com/rooms/1573973785873262141
Barcelona,13424,4.6,15,https://www.airbnb.com/rooms/1302000375810060014
Barcelona,15661,5.0,3,https://www.airbnb.com/rooms/1529513874247982237
Barcelona,11187,4.89,217,https://www.airbnb.com/rooms/929475558607641561
Barcelona,9461,4.81,21,https://www.airbnb.com/rooms/1476666963730392622
Barcelona,8055,4.67,18,https://www.airbnb.com/rooms/1472657634656839852
Barcelona,21734,4.71,217,https://www.airbnb.com/rooms/43918687
Barcelona,12785,4.72,32,https://www.airbnb.com/rooms/1453649872104342972
Barcelona,11826,4.67,112,https://www.airbnb.com/rooms/724624896917696602
Barcelona,10228,4.76,17,https://www.airbnb.com/rooms/48316428
Barcelona,9589,4.89,9,https://www.airbnb.com/rooms/1322019541191564488
Barcelona,9589,4.5,12,https://www.airbnb.com/rooms/1491237434468765749
Barcelona,7671,4.56,104,https://www.airbnb.com/rooms/790496430265031624
Barcelona,13462,5.0,6,https://www.airbnb.com/rooms/1523877113578096009
Barcelona,9589,4.58,62,https://www.airbnb.com/rooms/1321969011969578418
Barcelona,30881,4.92,380,https://www.airbnb.com/rooms/21719962
Barcelona,19045,New,0,https://www.airbnb.com/rooms/1547684773729058487
Barcelona,6252,4.7,281,https://www.airbnb.com/rooms/1381830149578594250
Barcelona,6393,4.45,40,https://www.airbnb.com/rooms/1254340701547926286
Barcelona,11826,4.78,432,https://www.airbnb.com/rooms/13060086
Barcelona,13999,New,0,https://www.airbnb.com/rooms/1550928141896338037
Barcelona,10013,New,0,https://www.airbnb.com/rooms/1566577526113811024
Barcelona,25250,New,0,https://www.airbnb.com/rooms/1569356457249893249
Barcelona,10228,4.56,9,https://www.airbnb.com/rooms/1249933722076698596
Barcelona,27111,4.81,304,https://www.airbnb.com/rooms/17151374
Barcelona,12476,New,0,https://www.airbnb.com/rooms/1539283005782435129
Barcelona,19816,4.75,290,https://www.airbnb.com/rooms/35378233
Barcelona,10874,4.79,80,https://www.airbnb.com/rooms/972368131833350601
Barcelona,16876,4.95,112,https://www.airbnb.com/rooms/969683313495052679
Barcelona,11251,,0,https://www.airbnb.com/rooms/1404898891067582338
Barcelona,15125,New,0,https://www.airbnb.com/rooms/1488487302338197491
Barcelona,15188,3.8,5,https://www.airbnb.com/rooms/1413012080829067960
Barcelona,22693,4.78,665,https://www.airbnb.com/rooms/744153
Barcelona,11187,4.54,54,https://www.airbnb.com/rooms/1322479668408497317
Barcelona,12146,4.91,301,https://www.airbnb.com/rooms/13310529
Barcelona,24143,4.76,1463,https://www.airbnb.com/rooms/47043666
Barcelona,4426,4.0,8,https://www.airbnb.com/rooms/1168760836088431969
Barcelona,27167,4.79,307,https://www.airbnb.com/rooms/17151393
Barcelona,28765,5.0,12,https://www.airbnb.com/rooms/1473165027522642542
Barcelona,17259,4.94,48,https://www.airbnb.com/rooms/36625968
Barcelona,13424,4.83,12,https://www.airbnb.com/rooms/1518219859290234061
Barcelona,22693,4.7,258,https://www.airbnb.com/rooms/43865087
Barcelona,16473,4.81,27,https://www.airbnb.com/rooms/1326725326505465825
Barcelona,14703,4.86,49,https://www.airbnb.com/rooms/980560771610249293
Barcelona,11500,4.65,17,https://www.airbnb.com/rooms/1462829821712570847
Barcelona,13041,4.51,41,https://www.airbnb.com/rooms/1308697511464976665
Barcelona,9972,4.92,12,https://www.airbnb.com/rooms/1041386548612129135
Tokyo,6949,New,0,https://www.airbnb.com/rooms/1560097384835640094
Tokyo,9409,4.8,15,https://www.airbnb.com/rooms/1486859550467930933
Tokyo,11724,4.87,62,https://www.airbnb.com/rooms/681334706469152654
Tokyo,9820,5.0,6,https://www.airbnb.com/rooms/1507839837503529341
Tokyo,10353,4.78,64,https://www.airbnb.com/rooms/45659223
Tokyo,13264,4.82,467,https://www.airbnb.com/rooms/54059823
Tokyo,10810,4.9,10,https://www.airbnb.com/rooms/1423016653645144140
Tokyo,14616,5.0,21,https://www.airbnb.com/rooms/1458002908020908599
Tokyo,13246,4.82,90,https://www.airbnb.com/rooms/973641535414191823
Tokyo,9980,5.0,3,https://www.airbnb.com/rooms/1507836646500197066
Tokyo,12388,5.0,3,https://www.airbnb.com/rooms/1371468517779192957
Tokyo,14595,4.92,156,https://www.airbnb.com/rooms/1031648675235927466
Tokyo,13552,5.0,7,https://www.airbnb.com/rooms/1406355068717088950
Tokyo,8861,4.88,42,https://www.airbnb.com/rooms/1384592061652573750
Tokyo,11906,New,0,https://www.airbnb.com/rooms/1536682715725794964
Tokyo,17113,4.91,35,https://www.airbnb.com/rooms/1552008514526567970
Tokyo,11653,New,0,https://www.airbnb.com/rooms/1556135236652822911
Tokyo,13382,4.8,10,https://www.airbnb.com/rooms/1208419935632160180
Tokyo,10841,4.76,234,https://www.airbnb.com/rooms/26349236
